Order ID,Order Date,Ship Date,Ship Mode,Address,Region,Customer ID,Customer Name,Segment,Product ID,Category,Sub-Category,Product Name,Quantity,Discount,Buy Price,Price Per Each,
152156,08/Nov/2016,"2016-11-11, 12:00:00 AM",Second Class,"Henderson, Kentucky, United States - 42420",South,CG-12520,Claire Gute,Consumer,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,2,0,130.98,151.9368,
152156,08/Nov/2016,"2016-11-11, 12:00:00 AM",Second Class,"Henderson, Kentucky, United States - 42420",South,CG-12520,Claire Gute,Consumer,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,0,243.98,317.174,
138688,12/Jun/2016,"2016-06-16, 12:00:00 AM",Second Class,"Los Angeles, California, United States - 90036",West,DV-13045,Darrin Van Huff,Corporate,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,2,0,7.31,10.7457,
108966,11/Oct/2015,"2015-10-18, 12:00:00 AM",Standard Class,"Fort Lauderdale, Florida, United States - 33311",South,SO-20335,Sean O'Donnell,Consumer,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,5,0.45,191.5155,114.9093,
108966,11/Oct/2015,"2015-10-18, 12:00:00 AM",Standard Class,"Fort Lauderdale, Florida, United States - 33311",South,SO-20335,Sean O'Donnell,Consumer,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2,0.2,11.184,12.4422,
115812,09/Jun/2014,"2014-06-14, 12:00:00 AM",Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7,0,6.98,9.0042,
115812,09/Jun/2014,"2014-06-14, 12:00:00 AM",Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,OFF-AR-10002833,Office Supplies,,Newell 322,4,0,1.82,2.3114,
115812,09/Jun/2014,"2014-06-14, 12:00:00 AM",Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6,0.2,151.192,166.3112,
115812,09/Jun/2014,"2014-06-14, 12:00:00 AM",Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,3,0.2,6.168,8.0955,
115812,09/Jun/2014,"2014-06-14, 12:00:00 AM",Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,5,0,22.98,29.874,
115812,09/Jun/2014,"2014-06-14, 12:00:00 AM",Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,9,0.2,189.576,199.0548,
115812,09/Jun/2014,"2014-06-14, 12:00:00 AM",Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,4,0.2,227.856,244.9452,
114412,15/Apr/2017,"2017-04-20, 12:00:00 AM",Standard Class,"Concord, North Carolina, United States - 28027",South,AA-10480,Andrew Allen,Consumer,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,3,0.2,5.184,6.9984,
161389,05/Dec/2016,"2016-12-10, 12:00:00 AM",Standard Class,"Seattle, Washington, United States - 98103",West,IM-15070,Irene Maddox,Consumer,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,3,0.2,135.992,180.1894,
118983,22/Nov/2015,"2015-11-26, 12:00:00 AM",Standard Class,"Fort Worth, Texas, United States - 76106",Central,HP-14815,Harold Pawlan,Home Office,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5,0.8,13.762,11.0096,
118983,22/Nov/2015,"2015-11-26, 12:00:00 AM",Standard Class,"Fort Worth, Texas, United States - 76106",Central,HP-14815,Harold Pawlan,Home Office,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,3,0.8,0.848,0.424,
105893,11/Nov/2014,"2014-11-18, 12:00:00 AM",Standard Class,"Madison, Wisconsin, United States - 53711",Central,PK-19075,Pete Kriz,Consumer,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",6,0,110.98,113.1996,
167164,13/May/2014,"2014-05-15, 12:00:00 AM",Second Class,"West Jordan, Utah, United States - 84084",West,AG-10270,Alejandro Grove,Consumer,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,2,0,27.75,32.745,
143336,27/Aug/2014,"2014-09-01, 12:00:00 AM",Second Class,"San Francisco, California, United States - 94109",West,ZD-21925,Zuschuss Donatelli,Consumer,OFF-AR-10003056,Office Supplies,Art,Newell 341,2,0,4.28,5.5212,
143336,27/Aug/2014,"2014-09-01, 12:00:00 AM",Second Class,"San Francisco, California, United States - 94109",West,ZD-21925,Zuschuss Donatelli,Consumer,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,3,0.2,71.16,76.497,
143336,27/Aug/2014,"2014-09-01, 12:00:00 AM",Second Class,"San Francisco, California, United States - 94109",West,ZD-21925,Zuschuss Donatelli,Consumer,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",4,0.2,5.68,7.526,
137330,09/Dec/2016,"2016-12-13, 12:00:00 AM",Standard Class,"Fremont, Nebraska, United States - 68025",Central,KB-16585,Ken Black,Corporate,OFF-AR-10000246,Office Supplies,Art,Newell 318,7,0,2.78,3.5028,
137330,09/Dec/2016,"2016-12-13, 12:00:00 AM",Standard Class,"Fremont, Nebraska, United States - 68025",Central,KB-16585,Ken Black,Corporate,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",7,0,8.62,10.8612,
156909,16/Jul/2017,"2017-07-18, 12:00:00 AM",Second Class,"Philadelphia, Pennsylvania, United States - 19140",East,SF-20065,Sandra Flanagan,Consumer,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",2,0.3,35.686,35.1762,
